220.164.164.198 - - [14/Sep/2015:00:00:06 +0800] "POST /login.action HTTP/1.1" 404 991
218.26.168.98 - - [14/Sep/2015:08:41:36 +0800] "GET /favicon.ico HTTP/1.1" 404 988
218.26.168.98 - - [14/Sep/2015:08:41:36 +0800] "GET / HTTP/1.1" 302 -
218.26.168.98 - - [14/Sep/2015:08:41:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
113.95.12.85 - - [14/Sep/2015:08:41:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:08:41:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
60.173.11.232 - - [14/Sep/2015:08:42:07 +0800] "GET http://www.baidu.com/ HTTP/1.1" 302 -
60.173.11.232 - - [14/Sep/2015:08:42:07 +0800] "GET http://www.baidu.com/sxzn/index.action HTTP/1.1" 200 18735
115.28.196.232 - - [14/Sep/2015:08:42:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:08:44:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:08:44:27 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:08:44:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:08:45:09 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:08:45:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.140.84.104 - - [14/Sep/2015:08:45:18 +0800] "GET / HTTP/1.1" 302 -
113.140.84.104 - - [14/Sep/2015:08:45:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
113.140.84.104 - - [14/Sep/2015:08:45:18 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1280
113.140.84.104 - - [14/Sep/2015:08:45:19 +0800] "GET /favicon.ico HTTP/1.1" 404 988
123.122.18.178 - - [14/Sep/2015:08:45:25 +0800] "GET /zszx/map/photo/50huangtu/pldfb.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [14/Sep/2015:08:45:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:08:45:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:08:46:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:08:46:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:08:47:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:08:49:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:08:49:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:08:49:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
117.136.61.114 - - [14/Sep/2015:08:49:50 +0800] "GET /zszx/map/photo/50huangtu/lxfrmczl.com HTTP/1.1" 200 867098
58.32.44.98 - - [14/Sep/2015:08:50:09 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:08:50:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.249.99.175 - - [14/Sep/2015:08:50:15 +0800] "GET /favicon.ico HTTP/1.1" 404 988
218.75.221.122 - - [14/Sep/2015:08:50:14 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
218.75.221.122 - - [14/Sep/2015:08:50:16 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
218.75.221.122 - - [14/Sep/2015:08:50:20 +0800] "GET /zszx/map/photo/80huagtu/plwkxsl.bmp HTTP/1.1" 200 867098
218.75.221.122 - - [14/Sep/2015:08:50:24 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [14/Sep/2015:08:50:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:08:50:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
222.208.214.125 - - [14/Sep/2015:08:51:18 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [14/Sep/2015:08:51:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:08:51:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:08:52:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:08:54:03 +0800] "GET / HTTP/1.1" 302 -
113.140.84.104 - - [14/Sep/2015:08:54:25 +0800] "POST /sxzn/checkLogin.action HTTP/1.1" 302 -
113.140.84.104 - - [14/Sep/2015:08:54:25 +0800] "GET /sxzn/ HTTP/1.1" 200 18474
61.149.81.22 - - [14/Sep/2015:08:54:27 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:08:54:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
113.140.84.104 - - [14/Sep/2015:08:54:32 +0800] "POST /sxzn/doSearch.action HTTP/1.1" 200 6257
113.140.84.104 - - [14/Sep/2015:08:54:32 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
113.140.84.104 - - [14/Sep/2015:08:54:35 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 26204
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/MzTreeView10.js HTTP/1.1" 200 24098
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L0.gif HTTP/1.1" 200 66
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L2.gif HTTP/1.1" 200 68
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L1.gif HTTP/1.1" 200 73
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L4.gif HTTP/1.1" 200 69
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L3.gif HTTP/1.1" 200 63
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/P0.gif HTTP/1.1" 200 163
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/P1.gif HTTP/1.1" 200 166
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/P3.gif HTTP/1.1" 200 159
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/P2.gif HTTP/1.1" 200 163
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/L5.gif HTTP/1.1" 200 58
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/root.gif HTTP/1.1" 200 173
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/folder.gif HTTP/1.1" 200 170
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/M0.gif HTTP/1.1" 200 159
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/M1.gif HTTP/1.1" 200 163
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/M2.gif HTTP/1.1" 200 159
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/file.gif HTTP/1.1" 200 942
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/M3.gif HTTP/1.1" 200 156
113.140.84.104 - - [14/Sep/2015:08:54:36 +0800] "GET /sxzn/js/images_mz/folderopen.gif HTTP/1.1" 200 126
113.140.84.104 - - [14/Sep/2015:08:54:38 +0800] "GET /sxzn/foreground/selectResult.jsp HTTP/1.1" 200 6231
113.140.28.66 - - [14/Sep/2015:08:54:42 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.104 - - [14/Sep/2015:08:54:42 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 26204
113.140.28.66 - - [14/Sep/2015:08:54:46 +0800] "GET /sxzn/foreground/browseMetadata.action?id=20 HTTP/1.1" 200 17838
113.140.28.66 - - [14/Sep/2015:08:54:47 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.104 - - [14/Sep/2015:08:54:53 +0800] "GET /sxzn/foreground/viewMetadata.action?id=202 HTTP/1.1" 200 9253
113.7.0.248 - - [14/Sep/2015:08:54:56 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
113.7.0.248 - - [14/Sep/2015:08:55:01 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
58.32.44.98 - - [14/Sep/2015:08:55:09 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:08:55:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [14/Sep/2015:08:55:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:08:55:54 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:08:56:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:08:56:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:08:57:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:08:59:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:00:00 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:00:00 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:09:00:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:00:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [14/Sep/2015:09:00:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:00:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [14/Sep/2015:09:01:02 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [14/Sep/2015:09:01:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.42.245.55 - - [14/Sep/2015:09:01:08 +0800] "GET /favicon.ico HTTP/1.1" 404 988
113.95.12.85 - - [14/Sep/2015:09:01:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:01:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:09:02:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:09:04:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:04:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:04:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/advanced/blackPage.jsp HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2567
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/advanced/blackPage.jsp HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2479
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/climintro.jsp HTTP/1.1" 200 3270
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/navigation/style.css HTTP/1.1" 404 223
58.42.245.55 - - [14/Sep/2015:09:05:07 +0800] "GET /clim/advanced/left.jsp HTTP/1.1" 200 20497
58.42.245.55 - - [14/Sep/2015:09:05:08 +0800] "GET /favicon.ico HTTP/1.1" 404 988
58.32.44.98 - - [14/Sep/2015:09:05:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:05:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:05:20 +0800] "GET /clim/user/main.jsp?table=m_temp HTTP/1.1" 200 24008
58.42.245.55 - - [14/Sep/2015:09:05:24 +0800] "POST /clim/user/main.jsp HTTP/1.1" 200 40633
58.42.245.55 - - [14/Sep/2015:09:05:25 +0800] "GET /clim/user/navigation/images/field.gif HTTP/1.1" 304 -
58.42.245.55 - - [14/Sep/2015:09:05:25 +0800] "GET /clim/user/navigation/images/field1.gif HTTP/1.1" 304 -
58.42.245.55 - - [14/Sep/2015:09:05:32 +0800] "POST /clim/user/main.jsp HTTP/1.1" 200 30217
58.42.245.55 - - [14/Sep/2015:09:05:36 +0800] "POST /clim/user/main.jsp HTTP/1.1" 200 40633
202.204.223.186 - - [14/Sep/2015:09:05:39 +0800] "GET /favicon.ico HTTP/1.1" 404 988
58.42.245.55 - - [14/Sep/2015:09:05:49 +0800] "POST /clim/user/main.jsp HTTP/1.1" 200 40421
111.192.102.34 - - [14/Sep/2015:09:05:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:05:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:06:00 +0800] "GET /clim/advanced/main.jsp?table=clim_temp HTTP/1.1" 200 23416
61.134.63.214 - - [14/Sep/2015:09:06:12 +0800] "GET /favicon.ico HTTP/1.1" 404 988
58.42.245.55 - - [14/Sep/2015:09:06:10 +0800] "POST /clim/advanced/download.jsp HTTP/1.1" 200 98208
58.42.245.55 - - [14/Sep/2015:09:06:12 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52050
58.42.245.55 - - [14/Sep/2015:09:06:13 +0800] "GET /clim/advanced/navigation/images/field.gif HTTP/1.1" 304 -
58.42.245.55 - - [14/Sep/2015:09:06:13 +0800] "GET /clim/advanced/navigation/images/field1.gif HTTP/1.1" 304 -
113.95.12.85 - - [14/Sep/2015:09:06:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:06:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:06:47 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52162
58.42.245.55 - - [14/Sep/2015:09:06:52 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52242
58.42.245.55 - - [14/Sep/2015:09:06:57 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52086
58.42.245.55 - - [14/Sep/2015:09:07:05 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52037
58.42.245.55 - - [14/Sep/2015:09:07:13 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 28759
115.28.196.232 - - [14/Sep/2015:09:07:38 +0800] "GET / HTTP/1.1" 302 -
218.75.221.122 - - [14/Sep/2015:09:07:49 +0800] "GET /zszx/map/photo/90huangtu/bp.bmp HTTP/1.1" 200 867098
58.42.245.55 - - [14/Sep/2015:09:07:22 +0800] "POST /clim/advanced/download.jsp HTTP/1.1" 200 506631
218.75.221.122 - - [14/Sep/2015:09:07:54 +0800] "GET /zszx/map/photo/50huangtu/lxfrmczl.com HTTP/1.1" 200 867098
218.75.221.122 - - [14/Sep/2015:09:08:02 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
112.124.127.64 - - [14/Sep/2015:09:09:03 +0800] "GET / HTTP/1.1" 302 -
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 16368
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1208
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/Search_icon.gif HTTP/1.1" 200 344
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/new.gif HTTP/1.1" 200 1816
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/leftSubTitle_bg.gif HTTP/1.1" 200 53
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/zh-cn.gif HTTP/1.1" 200 891
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/point.gif HTTP/1.1" 200 134
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/options.png HTTP/1.1" 200 615
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/bg.jpg HTTP/1.1" 200 19679
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/icon.gif HTTP/1.1" 200 119
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
113.140.84.102 - - [14/Sep/2015:09:09:28 +0800] "GET /favicon.ico HTTP/1.1" 404 988
113.140.84.102 - - [14/Sep/2015:09:09:33 +0800] "POST /sxzn/checkLogin.action;jsessionid=3D6896A1B3E4C58D536AFBAC524933A2 HTTP/1.1" 200 7414
113.140.84.102 - - [14/Sep/2015:09:09:33 +0800] "GET /sxzn/css/login.css HTTP/1.1" 200 199
113.140.84.102 - - [14/Sep/2015:09:09:33 +0800] "GET /sxzn/js/gen_validatorv31.js HTTP/1.1" 200 20040
113.140.84.102 - - [14/Sep/2015:09:09:33 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1330
113.140.84.102 - - [14/Sep/2015:09:09:33 +0800] "GET /favicon.ico HTTP/1.1" 404 988
113.140.84.102 - - [14/Sep/2015:09:09:37 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
113.140.84.102 - - [14/Sep/2015:09:09:37 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1212
58.32.44.98 - - [14/Sep/2015:09:10:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:10:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [14/Sep/2015:09:10:11 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:10:11 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:09:10:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:10:54 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:09:11:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:11:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:09:12:38 +0800] "GET / HTTP/1.1" 302 -
61.147.88.105 - - [14/Sep/2015:09:13:45 +0800] "GET http://www.so.com/ HTTP/1.1" 302 -
61.147.88.105 - - [14/Sep/2015:09:13:46 +0800] "GET http://www.so.com/sxzn/index.action HTTP/1.1" 200 18672
112.124.127.64 - - [14/Sep/2015:09:14:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:14:27 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:14:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:09:15:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:15:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [14/Sep/2015:09:15:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:15:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
203.208.60.5 - - [14/Sep/2015:09:16:02 +0800] "GET /zszx/handbook/handbook2.htm HTTP/1.1" 304 -
113.95.12.85 - - [14/Sep/2015:09:16:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:16:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:09:17:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:09:19:03 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:19:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:19:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:09:20:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:20:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.133.116.29 - - [14/Sep/2015:09:20:32 +0800] "GET /zszx/map/photo/50huangtu/lxfrmczl.com HTTP/1.1" 200 867098
61.133.116.29 - - [14/Sep/2015:09:20:32 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
223.223.177.132 - - [14/Sep/2015:09:20:51 +0800] "GET /favicon.ico HTTP/1.1" 404 988
111.192.102.34 - - [14/Sep/2015:09:20:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:20:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:09:21:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:21:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:09:22:38 +0800] "GET / HTTP/1.1" 302 -
61.149.38.18 - - [14/Sep/2015:09:23:34 +0800] "GET /favicon.ico HTTP/1.1" 404 988
112.124.127.64 - - [14/Sep/2015:09:24:02 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:25:05 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:25:05 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:09:25:09 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:25:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [14/Sep/2015:09:25:54 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:25:54 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:09:26:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:26:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.135.189.117 - - [14/Sep/2015:09:27:20 +0800] "GET /sxzn/foreground/viewMetadata.action?id=215 HTTP/1.1" 200 9252
61.135.189.117 - - [14/Sep/2015:09:27:20 +0800] "GET /robots.txt HTTP/1.1" 200 68
115.28.196.232 - - [14/Sep/2015:09:27:38 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:09:29:02 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:30:08 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:30:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [14/Sep/2015:09:30:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:30:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:09:30:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:30:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:09:31:38 +0800] "HEAD / HTTP/1.1" 302 -
122.226.145.219 - - [14/Sep/2015:09:31:53 +0800] "GET /zszx/map/photo/80huagtu/plwkxsl.bmp HTTP/1.1" 200 867098
122.226.145.219 - - [14/Sep/2015:09:32:09 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
122.226.145.219 - - [14/Sep/2015:09:32:17 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [14/Sep/2015:09:32:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:09:32:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
122.226.145.219 - - [14/Sep/2015:09:32:18 +0800] "GET /zszx/map/photo/90huangtu/bp.bmp HTTP/1.1" 200 867098
115.28.196.232 - - [14/Sep/2015:09:32:38 +0800] "GET / HTTP/1.1" 302 -
122.226.145.219 - - [14/Sep/2015:09:33:05 +0800] "GET /zszx/map/photo/50huangtu/lxfrmczl.com HTTP/1.1" 200 867098
122.226.145.219 - - [14/Sep/2015:09:33:07 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
122.226.145.219 - - [14/Sep/2015:09:33:55 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
112.124.127.64 - - [14/Sep/2015:09:34:02 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:34:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:09:34:27 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [14/Sep/2015:09:35:09 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:09:35:09 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [14/Sep/2015:09:35:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:09:35:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.42.245.55 - - [14/Sep/2015:09:36:33 +0800] "POST /clim/advanced/main.jsp HTTP/1.1" 200 52687
