68.180.228.50 - - [10/Jan/2017:00:00:05 +0800] "GET /sxzn/login.action;jsessionid=99AA4408AC09AA888F23E0BF5B0D7FB6 HTTP/1.1" 200 7386
58.32.44.98 - - [10/Jan/2017:07:08:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:08:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:07:09:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:09:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:09:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:09:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:12:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3291CB06DB1ACCCB24B7836B44D7EA39 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:12:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D3F1183810251617B49EF31BAC29FDD9 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:12:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AE3333D97A5881AD75D4815F668FA1A0 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:07:12:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CA5116E9101A7293420654466F753DB6 HTTP/1.1" 200 26368
113.95.12.85 - - [10/Jan/2017:07:12:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:12:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:07:13:47 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:13:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
207.46.13.118 - - [10/Jan/2017:07:14:19 +0800] "GET / HTTP/1.1" 302 -
207.46.13.118 - - [10/Jan/2017:07:14:20 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
157.55.39.5 - - [10/Jan/2017:07:14:25 +0800] "GET /robots.txt HTTP/1.1" 404 985
61.149.81.22 - - [10/Jan/2017:07:14:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:14:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
157.55.39.218 - - [10/Jan/2017:07:14:33 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
207.46.13.118 - - [10/Jan/2017:07:14:38 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
111.192.102.34 - - [10/Jan/2017:07:14:48 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:14:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:07:17:38 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:17:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:17:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AF957CB6D317794D8099490F81F80705 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:17:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2D099B14B1F517A198208FF01443CAA9 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:17:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=548C55B3AE1E52F70E6597117F2AD3E0 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:07:18:47 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:18:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:07:19:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:19:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:19:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:19:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:21:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=085AF4872D351B3924C7F5C3E5C48A3F HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:21:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=67EE72EF82174AA95F83EAE00E85B2C6 HTTP/1.1" 200 26368
113.95.12.85 - - [10/Jan/2017:07:22:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:22:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:07:23:47 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:23:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:24:28 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:24:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:24:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [10/Jan/2017:07:24:45 +0800] "GET /index.jsp HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:24:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:24:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:25:01 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [10/Jan/2017:07:25:17 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [10/Jan/2017:07:25:36 +0800] "GET /obd/showEntity.jsp?id=1674 HTTP/1.1" 500 2129
42.120.160.109 - - [10/Jan/2017:07:25:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5C0778F41EF56C1E9E7094CE429A3528 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:25:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D06FE6E2F4F9351E5592CE4C6DEC7CFA HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:25:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E9D6FC2A89FF0D78D1CB641AA251BC6B HTTP/1.1" 200 26368
106.120.173.126 - - [10/Jan/2017:07:25:53 +0800] "GET /obd/showEntity.jsp?id=1284 HTTP/1.1" 500 2129
106.120.173.126 - - [10/Jan/2017:07:26:10 +0800] "GET /http_type/tm/docments/LT51300421995212XXX01%20Metadata.htm HTTP/1.1" 200 16134
106.120.173.126 - - [10/Jan/2017:07:26:27 +0800] "GET /http_type/tm/docments/LT51220382006170IKR00%20Metadata.htm HTTP/1.1" 200 16134
106.120.173.126 - - [10/Jan/2017:07:26:43 +0800] "GET /http_type/tm/docments/LT41210341989044XXX03%20Metadata.htm HTTP/1.1" 200 16133
106.120.173.126 - - [10/Jan/2017:07:27:00 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=128 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:27:18 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=80 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:27:35 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
113.95.12.85 - - [10/Jan/2017:07:27:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:27:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:27:53 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [10/Jan/2017:07:28:10 +0800] "GET /sxzn/listDataOfMD.action?id=17 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:28:27 +0800] "GET /sxzn/listDataOfMD.action?id=98 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:28:44 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
58.32.44.98 - - [10/Jan/2017:07:28:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:28:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:28:59 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
36.110.173.24 - - [10/Jan/2017:07:29:08 +0800] "GET /clim/climintro.jsp HTTP/1.1" 200 3270
36.110.173.24 - - [10/Jan/2017:07:29:08 +0800] "GET /clim/advanced/images/Mon.gif HTTP/1.1" 200 293
36.110.173.24 - - [10/Jan/2017:07:29:08 +0800] "GET /clim/navigation/style.css HTTP/1.1" 404 223
106.120.173.126 - - [10/Jan/2017:07:29:16 +0800] "GET /http_type/tm/html/html/docments/LT51340322006174IKR00%20Metadata.htm HTTP/1.1" 404 264
36.110.173.24 - - [10/Jan/2017:07:29:16 +0800] "GET /clim/advanced/main.jsp?table=clim_rsum HTTP/1.1" 200 23418
36.110.173.24 - - [10/Jan/2017:07:29:18 +0800] "GET /clim/advanced/navigation/style.css HTTP/1.1" 200 4724
36.110.173.24 - - [10/Jan/2017:07:29:30 +0800] "GET /clim/advanced/js/pageViewer.js HTTP/1.1" 200 620
61.149.81.22 - - [10/Jan/2017:07:29:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:29:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
36.110.173.24 - - [10/Jan/2017:07:29:30 +0800] "GET /clim/advanced/js/calendar.js HTTP/1.1" 200 10855
106.120.173.126 - - [10/Jan/2017:07:29:32 +0800] "GET /http_type/tm/html/html/docments/LT51370322006211IKR00%20Metadata.htm HTTP/1.1" 404 264
61.149.81.22 - - [10/Jan/2017:07:29:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:29:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
106.120.173.126 - - [10/Jan/2017:07:29:48 +0800] "GET /sxzn/foreground/listMetadataExt.action?id=21 HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:29:50 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:29:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:30:03 +0800] "GET /sxzn/listDataOfMD.action?id=184 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:30:17 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
42.120.160.109 - - [10/Jan/2017:07:30:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=81E2E3A3A4EF89E38719FD150235564F HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:30:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D06D980F7E1A2502DD9F355B55F1E418 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:30:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=572763DBB0969C1C5F99ABD67C72D188 HTTP/1.1" 200 26368
106.120.173.126 - - [10/Jan/2017:07:30:32 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [10/Jan/2017:07:30:47 +0800] "GET /http_type/tm/html/docments/LT51280402007263BKT01%20Metadata.htm HTTP/1.1" 404 259
106.120.173.126 - - [10/Jan/2017:07:31:01 +0800] "GET /obd/listEntities.jsp?did=1020 HTTP/1.1" 500 2129
106.120.173.126 - - [10/Jan/2017:07:31:15 +0800] "GET /obd/listLocations.jsp?did=1155 HTTP/1.1" 500 2129
106.120.173.126 - - [10/Jan/2017:07:31:29 +0800] "GET /obd/listEntities.jsp?did=1021 HTTP/1.1" 500 2129
106.120.173.126 - - [10/Jan/2017:07:31:43 +0800] "GET /obd/listLocations.jsp?did=1051 HTTP/1.1" 500 2129
106.120.173.126 - - [10/Jan/2017:07:31:57 +0800] "GET /sxzn/foreground/listMetadataExt.action?id=7 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:32:12 +0800] "GET /list/listSource.jsp?source=%C2%DB%CE%C4%BC%AF HTTP/1.1" 200 2145
106.120.173.126 - - [10/Jan/2017:07:32:25 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
40.77.167.41 - - [10/Jan/2017:07:32:33 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:32:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:32:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:32:39 +0800] "GET /clim/index.jsp HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:32:53 +0800] "GET /sxzn/foreground/viewDataset.action?id=1720 HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:33:06 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
106.120.173.126 - - [10/Jan/2017:07:33:19 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [10/Jan/2017:07:33:32 +0800] "GET /sxzn/foreground/browseMetadata.action?id=17 HTTP/1.1" 200 22788
106.120.173.126 - - [10/Jan/2017:07:33:45 +0800] "GET /sxzn/foreground/viewDataset.action?id=2354 HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:33:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:33:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:33:57 +0800] "GET /index.jsp?app=stat HTTP/1.1" 302 -
42.120.160.109 - - [10/Jan/2017:07:34:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=66DE0F5B7C047BCF449B4554AE63FE80 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:34:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2D7DD50EFD8542D306D26C173D09DB7A HTTP/1.1" 200 26368
106.120.173.126 - - [10/Jan/2017:07:34:10 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [10/Jan/2017:07:34:22 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.81.22 - - [10/Jan/2017:07:34:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:34:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [10/Jan/2017:07:34:33 +0800] "GET /index.jsp?app=tlp HTTP/1.1" 302 -
106.120.173.126 - - [10/Jan/2017:07:34:45 +0800] "GET /tlp/user/ HTTP/1.1" 200 644
111.192.102.34 - - [10/Jan/2017:07:34:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:34:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [10/Jan/2017:07:34:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [10/Jan/2017:07:35:08 +0800] "GET /tlp/advanced/index.jsp HTTP/1.1" 200 720
106.120.173.126 - - [10/Jan/2017:07:35:20 +0800] "GET /sxzn/foreground/browseMetadata.action?id=1 HTTP/1.1" 200 25965
113.95.12.85 - - [10/Jan/2017:07:37:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:37:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:38:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3437CEAAB7A272E35EDA9C951A15327E HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:38:22 +0800] "GET /sxzn/login.action;jsessionid=E082B7AE074F3E4E2374B2F013EF09EB HTTP/1.1" 200 7449
42.120.161.109 - - [10/Jan/2017:07:38:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CEFF4A60F84ECC36059B78049A642434 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:07:38:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:38:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:07:39:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:39:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:39:48 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:39:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:42:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=618D76B5034CAF2EEDB0BBBAD81EA1FF HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:42:22 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=249C9A809F31F811EA9D88FF66DFFAD7 HTTP/1.1" 200 26368
113.95.12.85 - - [10/Jan/2017:07:42:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:42:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:07:43:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:43:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
151.80.31.101 - - [10/Jan/2017:07:43:54 +0800] "GET /robots.txt HTTP/1.1" 404 985
163.172.66.145 - - [10/Jan/2017:07:43:55 +0800] "GET /sxzn/foreground/viewMetadata.action?id=198 HTTP/1.1" 200 8944
61.149.81.22 - - [10/Jan/2017:07:44:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:44:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:44:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:44:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:46:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=62856CD1EF98818B284D26FDCC83ECA1 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:46:43 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=DADFBC2DA224EB718D0A3819A66384D4 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:46:43 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3CF09D37854352F4A23A6AA9EA3CABC7 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:07:46:43 +0800] "GET /sxzn/foreground/viewMetadata.action?id=98 HTTP/1.1" 200 9147
113.95.12.85 - - [10/Jan/2017:07:47:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:47:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:07:48:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:48:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
103.226.213.135 - - [10/Jan/2017:07:49:15 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
61.149.81.22 - - [10/Jan/2017:07:49:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:49:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:49:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:49:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:50:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C1187786B6AE7511F5CAE0B9BC8FD9A9 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:50:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F667027191FE90011C674031ADA1112B HTTP/1.1" 200 26368
113.95.12.85 - - [10/Jan/2017:07:52:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:52:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:07:53:47 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:53:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:07:54:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E0128CAF21001BCBABC945356A4A8186 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:07:54:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AC26ABF77A5A46EFA93304FE9D5E8D86 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:07:54:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=478F0C99078338A5FDBD1B4A6E9FCB35 HTTP/1.1" 200 26368
61.149.81.22 - - [10/Jan/2017:07:54:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:54:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:54:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:54:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:07:57:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:07:57:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
211.71.157.136 - - [10/Jan/2017:07:58:14 +0800] "GET /favicon.ico HTTP/1.1" 404 988
42.120.160.109 - - [10/Jan/2017:07:58:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=0384556780DF900C611E55E2558AD001 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:07:58:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:07:58:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:07:59:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:07:59:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:07:59:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:07:59:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:08:02:22 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D0604E486E577D3780134C4CD8A4492D HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:08:02:23 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=25CAA036D676A285A563E1700514A159 HTTP/1.1" 200 26368
61.149.12.161 - - [10/Jan/2017:08:02:23 +0800] "GET / HTTP/1.1" 302 -
42.156.137.109 - - [10/Jan/2017:08:02:23 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=DBA1438FD575F0ADF9503BC52CB14B01 HTTP/1.1" 200 26368
61.149.12.161 - - [10/Jan/2017:08:02:23 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [10/Jan/2017:08:02:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:08:02:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:08:03:45 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:08:03:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:08:04:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:08:04:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:08:04:48 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:08:04:48 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:08:07:37 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:08:07:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [10/Jan/2017:08:08:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:08:08:46 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:08:09:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:08:09:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:08:09:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:08:09:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:08:12:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:08:12:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
218.4.83.154 - - [10/Jan/2017:08:13:13 +0800] "GET /zszx/handbook/handbook1.htm HTTP/1.1" 200 306238
58.32.44.98 - - [10/Jan/2017:08:13:46 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:08:13:47 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:08:14:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:08:14:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:08:14:49 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:08:14:49 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:08:15:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=99D402D534094F602E5C81391081DD74 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:08:15:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=68CA500001D9691DB5F0D94AB798F9F9 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:08:15:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C68C1AA9F6F0FC4A771114B204072703 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:08:15:43 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FE44E76DEAF22557CBF42D8389925150 HTTP/1.1" 200 26368
42.156.139.109 - - [10/Jan/2017:08:15:43 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D0604E486E577D3780134C4CD8A4492D HTTP/1.1" 200 26368
