115.60.132.229 - - [12/Aug/2016:00:00:44 +0800] "GET /stat/images/m2.jpg HTTP/1.1" 404 1009
111.204.230.96 - - [12/Aug/2016:10:41:11 +0800] "GET /zszx/map/photo/50huangtu/trqht.bmp HTTP/1.1" 200 867098
223.104.19.182 - - [12/Aug/2016:10:41:50 +0800] "GET /zszx/map/photo/50huangtu/trqsqht.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [12/Aug/2016:10:42:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:10:42:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
222.89.53.89 - - [12/Aug/2016:10:42:48 +0800] "GET /zszx/map/photo/50huangtu/xlpjt.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [12/Aug/2016:10:43:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:10:43:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
182.134.223.43 - - [12/Aug/2016:10:43:07 +0800] "GET /zszx/map/photo/cgzai/cgndys.bmp HTTP/1.1" 200 130944
42.156.138.104 - - [12/Aug/2016:10:43:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B4FBCAB1D067289D403A6639379D8D80 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:10:43:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5B2D2FEE7EA373AB43E75F8665A9BB12 HTTP/1.1" 200 26368
42.156.139.104 - - [12/Aug/2016:10:43:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=557C4F233A6419F623EA0514EC43F296 HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:10:45:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:10:45:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:10:46:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:10:46:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:10:47:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:10:47:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.104 - - [12/Aug/2016:10:47:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=43149D3FFB8D4C5BE61688158F65BDF4 HTTP/1.1" 200 26368
111.192.102.34 - - [12/Aug/2016:10:48:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:10:48:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.20 - - [12/Aug/2016:10:48:57 +0800] "GET /clim/images/climintro2.jpg HTTP/1.1" 200 11519
42.156.138.104 - - [12/Aug/2016:10:50:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=0714DBD1D8130B0C3879F90A4959787F HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:10:50:35 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=92FED1BD3BC244162B723AF1903F0B27 HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:10:50:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:10:50:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.206.87.84 - - [12/Aug/2016:10:51:01 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
58.32.44.98 - - [12/Aug/2016:10:51:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:10:51:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:10:52:05 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:10:52:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [12/Aug/2016:10:53:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:10:53:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.104 - - [12/Aug/2016:10:54:13 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=64F982E4D81B919C2621A1F3FA79E6D9 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:10:54:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=59F5C365BD597D1890BE15DE1D6B0A84 HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:10:55:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:10:55:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:10:56:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:10:56:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:10:57:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:10:57:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.104 - - [12/Aug/2016:10:57:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8674794C1979C45E9FD7542DB847A3E9 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:10:57:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A4B7D97CAF5BACBFEF28BADEC6A8AE61 HTTP/1.1" 200 26368
111.192.102.34 - - [12/Aug/2016:10:58:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:10:58:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [12/Aug/2016:11:00:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:00:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.138.104 - - [12/Aug/2016:11:01:14 +0800] "GET /sxzn/viewMetadata.action?id=79 HTTP/1.1" 200 9286
42.156.137.104 - - [12/Aug/2016:11:01:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=9FCD5556CD00B246A06356A875068031 HTTP/1.1" 200 26368
58.32.44.98 - - [12/Aug/2016:11:01:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:01:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
122.193.30.62 - - [12/Aug/2016:11:01:16 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
122.193.30.62 - - [12/Aug/2016:11:01:20 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
117.14.159.110 - - [12/Aug/2016:11:01:59 +0800] "GET /favicon.ico HTTP/1.1" 404 988
113.95.12.85 - - [12/Aug/2016:11:02:05 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:02:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [12/Aug/2016:11:03:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:03:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.104 - - [12/Aug/2016:11:04:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FBCC50451C5F3995D7560524B73C4364 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:04:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B2C918D7AA56ED2B62C8F39FA5C2C964 HTTP/1.1" 200 26368
219.141.229.195 - - [12/Aug/2016:11:05:55 +0800] "GET /favicon.ico HTTP/1.1" 404 988
61.149.81.22 - - [12/Aug/2016:11:05:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:05:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:11:06:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:06:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:11:07:05 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:07:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [12/Aug/2016:11:08:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:08:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.104 - - [12/Aug/2016:11:08:35 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CB5EDB78A468E1ADA054A93744F30178 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:08:35 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E999BC89714A463F85C1B2E8552D08E0 HTTP/1.1" 200 26368
42.156.139.104 - - [12/Aug/2016:11:08:35 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=49BADD1E4BBD467315767B341C2A2307 HTTP/1.1" 200 26368
180.152.10.85 - - [12/Aug/2016:11:08:49 +0800] "GET /tlp/images/riverintro2.gif HTTP/1.1" 200 100899
218.199.207.116 - - [12/Aug/2016:11:09:04 +0800] "GET /favicon.ico HTTP/1.1" 404 988
61.149.81.22 - - [12/Aug/2016:11:10:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:10:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
51.255.65.82 - - [12/Aug/2016:11:11:04 +0800] "GET /sxzn/foreground/viewMetadata.action?id=93 HTTP/1.1" 200 9240
58.32.44.98 - - [12/Aug/2016:11:11:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:11:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:11:12:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:12:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
68.180.231.62 - - [12/Aug/2016:11:12:05 +0800] "GET /robots.txt HTTP/1.1" 200 68
68.180.231.62 - - [12/Aug/2016:11:12:06 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=87 HTTP/1.1" 302 -
42.156.138.104 - - [12/Aug/2016:11:12:12 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CF52286D8F70775D2C3EFFD07846E44D HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:12:13 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AC07C47FBD4CD76A269D4DF0347E45BE HTTP/1.1" 200 26368
68.180.231.62 - - [12/Aug/2016:11:12:27 +0800] "GET /sxzn/login.action;jsessionid=220BF2ABF20E9C06E5BA9F9823C5A0D8 HTTP/1.1" 200 7451
111.192.102.34 - - [12/Aug/2016:11:13:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:13:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:13:26 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2567
221.11.67.254 - - [12/Aug/2016:11:13:26 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2479
221.11.67.254 - - [12/Aug/2016:11:13:26 +0800] "GET /favicon.ico HTTP/1.1" 404 988
221.11.67.254 - - [12/Aug/2016:11:13:57 +0800] "GET /zszx/map/photo/yixian/dem.bmp HTTP/1.1" 200 867098
221.11.67.254 - - [12/Aug/2016:11:14:27 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 1
221.11.67.254 - - [12/Aug/2016:11:14:27 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 2012564
221.11.67.254 - - [12/Aug/2016:11:14:35 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 1
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 1993584
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 12486
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 24973
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 16748
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 24973
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 24973
221.11.67.254 - - [12/Aug/2016:11:14:38 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 24973
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 443018
221.11.67.254 - - [12/Aug/2016:11:14:39 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 426270
221.11.67.254 - - [12/Aug/2016:11:14:39 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 451243
221.11.67.254 - - [12/Aug/2016:11:14:39 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 443018
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 221509
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 200 2013696
221.11.67.254 - - [12/Aug/2016:11:14:37 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 206 886036
61.149.81.22 - - [12/Aug/2016:11:15:58 +0800] "GET / HTTP/1.1" 302 -
42.156.138.104 - - [12/Aug/2016:11:15:57 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=71E9004B55E6C60005D43AACD15700C4 HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:11:15:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:11:16:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:16:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [12/Aug/2016:11:17:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:17:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [12/Aug/2016:11:18:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:18:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
118.255.188.74 - - [12/Aug/2016:11:18:51 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
124.94.133.162 - - [12/Aug/2016:11:19:01 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
42.156.138.104 - - [12/Aug/2016:11:19:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7D5D152B5A51F4E610AF220D082060B4 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:19:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7BD5D376A51A7226205D2331FD6F13E3 HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:11:20:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:20:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:11:21:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:21:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
202.101.245.136 - - [12/Aug/2016:11:21:13 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
202.101.245.136 - - [12/Aug/2016:11:21:26 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
124.94.133.162 - - [12/Aug/2016:11:21:32 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [12/Aug/2016:11:22:05 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:22:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:22:09 +0800] "GET / HTTP/1.1" 302 -
221.11.67.254 - - [12/Aug/2016:11:22:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
221.11.67.254 - - [12/Aug/2016:11:22:09 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/icon.gif HTTP/1.1" 200 119
221.11.67.254 - - [12/Aug/2016:11:22:09 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1204
221.11.67.254 - - [12/Aug/2016:11:22:09 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/new.gif HTTP/1.1" 200 1816
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/Search_icon.gif HTTP/1.1" 200 344
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/bg.jpg HTTP/1.1" 200 19679
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/point.gif HTTP/1.1" 200 134
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/leftSubTitle_bg.gif HTTP/1.1" 200 53
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/options.png HTTP/1.1" 200 615
221.11.67.254 - - [12/Aug/2016:11:22:10 +0800] "GET /sxzn/images/zh-cn.gif HTTP/1.1" 200 891
42.156.138.104 - - [12/Aug/2016:11:22:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B089DC8DF26C6E02EBBDEA4A5F174136 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:22:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=0CB1B7468D600BAAE8FCC1B6A15181D8 HTTP/1.1" 200 26368
111.192.102.34 - - [12/Aug/2016:11:23:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:23:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:24:46 +0800] "GET /sxzn/readPolicy.action HTTP/1.1" 200 6656
221.11.67.254 - - [12/Aug/2016:11:24:49 +0800] "POST /sxzn/register.action HTTP/1.1" 200 20671
221.11.67.254 - - [12/Aug/2016:11:24:50 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1315
221.11.67.254 - - [12/Aug/2016:11:24:50 +0800] "GET /sxzn/js/gen_validatorv31.js HTTP/1.1" 200 20040
221.11.67.254 - - [12/Aug/2016:11:24:50 +0800] "GET /sxzn/js/functions.js HTTP/1.1" 200 4378
221.11.67.254 - - [12/Aug/2016:11:25:02 +0800] "GET /sxzn/readPolicy.action HTTP/1.1" 200 6656
221.11.67.254 - - [12/Aug/2016:11:25:06 +0800] "POST /sxzn/register.action HTTP/1.1" 200 20671
221.11.67.254 - - [12/Aug/2016:11:25:06 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1279
61.149.81.22 - - [12/Aug/2016:11:25:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:25:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [12/Aug/2016:11:26:15 +0800] "HEAD / HTTP/1.1" 302 -
42.156.138.104 - - [12/Aug/2016:11:26:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5DECC54FE26A3B6E19FF59B1D7F29CC3 HTTP/1.1" 200 26368
58.32.44.98 - - [12/Aug/2016:11:26:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.104 - - [12/Aug/2016:11:26:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=10406A879D39B98BB53AD72A8DA34473 HTTP/1.1" 200 26368
113.95.12.85 - - [12/Aug/2016:11:27:04 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:27:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:27:46 +0800] "POST /sxzn/saveRegister.action HTTP/1.1" 200 1344
221.11.67.254 - - [12/Aug/2016:11:27:46 +0800] "GET /sxzn/images/messagePage/success.gif HTTP/1.1" 200 203
221.11.67.254 - - [12/Aug/2016:11:27:46 +0800] "GET /sxzn/css/messagePage.css HTTP/1.1" 200 741
221.11.67.254 - - [12/Aug/2016:11:27:49 +0800] "GET /index.action HTTP/1.1" 404 991
111.192.102.34 - - [12/Aug/2016:11:28:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:28:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:28:59 +0800] "GET /index.action HTTP/1.1" 404 991
221.11.67.254 - - [12/Aug/2016:11:29:05 +0800] "GET / HTTP/1.1" 302 -
221.11.67.254 - - [12/Aug/2016:11:29:06 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1175
221.11.67.254 - - [12/Aug/2016:11:29:06 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
221.11.67.254 - - [12/Aug/2016:11:29:14 +0800] "POST /sxzn/checkLogin.action HTTP/1.1" 302 -
221.11.67.254 - - [12/Aug/2016:11:29:14 +0800] "GET /sxzn/ HTTP/1.1" 200 18474
42.156.138.104 - - [12/Aug/2016:11:29:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8810E74E925E10E2B5E983DECB24464C HTTP/1.1" 200 26368
61.149.81.22 - - [12/Aug/2016:11:29:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:29:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
61.149.81.22 - - [12/Aug/2016:11:30:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:30:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
221.11.67.254 - - [12/Aug/2016:11:31:00 +0800] "POST /sxzn/doSearch.action HTTP/1.1" 200 11548
221.11.67.254 - - [12/Aug/2016:11:31:00 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
221.11.67.254 - - [12/Aug/2016:11:31:14 +0800] "GET /sxzn/viewMetadata.action?id=48 HTTP/1.1" 200 9611
221.11.67.254 - - [12/Aug/2016:11:31:14 +0800] "GET /sxzn/css/metadata.css HTTP/1.1" 200 945
58.32.44.98 - - [12/Aug/2016:11:31:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [12/Aug/2016:11:31:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:31:24 +0800] "GET /sxzn/listDataOfMD.action?id=48 HTTP/1.1" 200 6250
221.11.67.254 - - [12/Aug/2016:11:31:28 +0800] "GET /sxzn/viewDataset.action?id=206 HTTP/1.1" 200 1579
221.11.67.254 - - [12/Aug/2016:11:31:28 +0800] "GET /sxzn/images/messagePage/error.gif HTTP/1.1" 200 215
182.119.89.213 - - [12/Aug/2016:11:31:28 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 147312
221.11.67.254 - - [12/Aug/2016:11:31:38 +0800] "GET /sxzn/viewDataset.action?id=206 HTTP/1.1" 200 1579
221.11.67.254 - - [12/Aug/2016:11:31:41 +0800] "GET /sxzn/applyDataFile.action?id=206 HTTP/1.1" 200 7667
113.95.12.85 - - [12/Aug/2016:11:32:05 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [12/Aug/2016:11:32:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:33:05 +0800] "POST /sxzn/doAddLogAuth.action HTTP/1.1" 200 1533
111.192.102.34 - - [12/Aug/2016:11:33:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [12/Aug/2016:11:33:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.11.67.254 - - [12/Aug/2016:11:33:08 +0800] "GET /index.action HTTP/1.1" 404 991
42.156.138.104 - - [12/Aug/2016:11:33:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8E910497322F807980685B10C3A8FED3 HTTP/1.1" 200 26368
42.156.137.104 - - [12/Aug/2016:11:33:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BEFAB16BF92AA969D023E81F4E8B20C6 HTTP/1.1" 200 26368
68.180.231.62 - - [12/Aug/2016:11:33:58 +0800] "GET /sxzn/foreground/viewMetadata.action?id=106 HTTP/1.1" 200 9149
221.11.67.254 - - [12/Aug/2016:11:34:57 +0800] "GET / HTTP/1.1" 302 -
221.11.67.254 - - [12/Aug/2016:11:34:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18474
218.5.226.202 - - [12/Aug/2016:11:34:50 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
221.11.67.254 - - [12/Aug/2016:11:35:11 +0800] "POST /sxzn/doSearch.action HTTP/1.1" 200 11548
221.11.67.254 - - [12/Aug/2016:11:35:19 +0800] "GET /sxzn/viewMetadata.action?id=49 HTTP/1.1" 200 9609
61.153.26.250 - - [12/Aug/2016:11:35:49 +0800] "GET /zszx/map/photo/90huangtu/rain.bmp HTTP/1.1" 200 867098
221.11.67.254 - - [12/Aug/2016:11:35:52 +0800] "GET /sxzn/viewMetadata.action?id=48 HTTP/1.1" 200 9611
61.149.81.22 - - [12/Aug/2016:11:35:58 +0800] "GET / HTTP/1.1" 302 -
68.180.231.62 - - [12/Aug/2016:11:35:58 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=106 HTTP/1.1" 302 -
61.149.81.22 - - [12/Aug/2016:11:35:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
